word	Sesotho-st	emotion	emotion-intensity-score
appendicitis	ho kenya letsoho	fear	0.547
siren	siren	fear	0.547
ailing	ba kulang	fear	0.547
brigade	brigade	fear	0.547
scandal	sekhobo	fear	0.547
talons	NO TRANSLATION	fear	0.547
mad	hlanya	fear	0.547
outcry	ho bokolla	fear	0.547
needles	liseile	fear	0.547
expulsion	ho lelekoa	fear	0.547
scorpion	scorpion	fear	0.547
cannon	kankere	fear	0.547
overthrow	ho liha	fear	0.547
communism	bokomonisi	fear	0.547
enmity	bora	fear	0.547
flood	moroallo	fear	0.547
beware	ela hloko	fear	0.547
bondage	bokhoba	fear	0.547
asylum	sebaka sa bolulo	fear	0.547
coercion	ho qobelloa	fear	0.547
plunge	fula	fear	0.547
apparition	ho hlaha	fear	0.547
thief	lesholu	fear	0.547
growling	ho lla	fear	0.547
noxious	ho sa tsotellehe	fear	0.547
insanity	insanity	fear	0.547
derogation	ho nyatsuoa	fear	0.547
samurai	samaki	fear	0.547
abhor	nyonya	fear	0.547
gonorrhea	gonorrhea	fear	0.547
neuralgia	neuralgia	fear	0.547
precarious	e sitisang	fear	0.547
senile	senile	fear	0.547
jeopardize	beha kotsing	fear	0.547
adder	adder	fear	0.547
retribution	tefello	fear	0.545
uprising	ho tsosoa	fear	0.545
cemetery	mabitla	fear	0.541
badness	bobe	fear	0.539
phantom	phantom	fear	0.538
fled	ba balehile	fear	0.534
abandoned	e tlohetsoe	fear	0.534
rejection	ho lahla	fear	0.533
theft	bosholu	fear	0.531
hopelessness	ho hloka tšepo	fear	0.531
frenzied	e fere	fear	0.531
buried	e patoa	fear	0.531
eek	eek	fear	0.531
subjugation	tlhōlo	fear	0.531
wrangling	wrangling	fear	0.531
bacterium	baktheria	fear	0.531
cowardly	ka boikhohomoso	fear	0.531
stalk	stalk	fear	0.531
helpless	ho hloka thuso	fear	0.531
incursion	ts'ebetso	fear	0.531
stressed	e hatelitsoe	fear	0.531
deserted	e lahliloe	fear	0.531
manifestation	pontšo	fear	0.531
abandon	tlohela	fear	0.531
slave	lekhoba	fear	0.531
failing	ho hlōleha	fear	0.531
freakout	freakout	fear	0.531
saber	NO TRANSLATION	fear	0.531
leeches	leeches	fear	0.531
manipulation	ho qhekella	fear	0.531
impotence	ho hloka matla	fear	0.531
broken	e robehileng	fear	0.531
atherosclerosis	atherosclerosis	fear	0.531
lawlessness	tlōlo ea molao	fear	0.531
swastika	swastika	fear	0.531
captor	moqapi	fear	0.531
penetration	phunyeletso	fear	0.531
harbinger	ho sa tsotellehe	fear	0.531
jarring	jarring	fear	0.531
rebellion	bofetoheli	fear	0.531
distrust	ho se tšepane	fear	0.531
endocarditis	endocarditis	fear	0.531
carnivorous	ba ratang haholo	fear	0.531
punish	kotlo	fear	0.531
disembodied	e koahetsoeng	fear	0.531
superstitious	litumela-khoela	fear	0.531
stormy	sefefo	fear	0.531
shaking	ho sisinya	fear	0.531
unstable	e tsitsitseng	fear	0.531
suspense	ho tsieleha	fear	0.529
blood	mali	fear	0.525
hiding	ipate	fear	0.524
bear	bere	fear	0.524
unlawful	e seng molaong	fear	0.519
crazy	ea hlanya	fear	0.519
cult	kereke	fear	0.518
anxious	ho tšoenyeha	fear	0.518
deportation	ho lelekoa naheng	fear	0.517
captive	baholehuoa	fear	0.517
shriek	shriek	fear	0.516
sorcery	boloi	fear	0.516
grievous	e utloisang bohloko	fear	0.516
chased	e lelekoa	fear	0.516
detainee	ho koalloa	fear	0.516
palsy	lefu la phoso	fear	0.516
intolerance	ho hloka kutloano	fear	0.516
growl	khalala	fear	0.516
sting	ho tsuba	fear	0.516
plunder	tlatlapo	fear	0.516
fang	NO TRANSLATION	fear	0.516
unthinkable	ho sa nahaneheng	fear	0.516
smite	otla	fear	0.516
suspect	ho belaela	fear	0.516
pernicious	e kotsi	fear	0.516
enforce	tiisa	fear	0.516
embolism	embolism	fear	0.516
helplessness	ho hloka thuso	fear	0.516
harshness	bohale	fear	0.516
oppress	hatella	fear	0.516
exile	kholehong	fear	0.516
foreboding	ho ikhethang	fear	0.516
relapse	ho khutlela morao	fear	0.516
robber	lesholu	fear	0.516
biopsy	biopsy	fear	0.516
emaciated	emaciated	fear	0.516
incite	tsosolosa	fear	0.516
troublesome	e thata	fear	0.516
busted	e ferekane	fear	0.516
darkness	lefifi	fear	0.516
insidious	e bolotsana	fear	0.516
plight	bothata	fear	0.516
exacerbation	ho eketsa matla	fear	0.516
revulsion	bofetoheli	fear	0.516
badfeeling	NO TRANSLATION	fear	0.516
conspirator	moqapi	fear	0.516
depression	ho tepella maikutlong	fear	0.508
confinement	ho koalloa chankaneng	fear	0.507
downfall	ho oa	fear	0.500
alcoholism	tahi ea tahi	fear	0.500
towering	e khōlō	fear	0.500
blob	blob	fear	0.500
eeeek	NO TRANSLATION	fear	0.500
instability	ho se tsitse	fear	0.500
prohibited	e thibetsoe	fear	0.500
brute	e bobebe	fear	0.500
suppress	thibela	fear	0.500
infarct	e fokolang	fear	0.500
snowmageddon	snowmageddon	fear	0.500
hunting	ho tsoma	fear	0.500
wasp	ho senya	fear	0.500
cliff	moferefere	fear	0.500
frenetic	frenetic	fear	0.500
squeamish	squeamish	fear	0.500
mistrust	ho se tšepane	fear	0.500
raving	ho tsuba	fear	0.500
premeditated	e hlophisitsoe pele	fear	0.500
intolerant	e sa mamelleng	fear	0.500
subvert	ho fetoha	fear	0.500
illegal	e seng molaong	fear	0.500
scalpel	scalpel	fear	0.500
vertigo	vertigo	fear	0.500
madden	ho hlanya	fear	0.500
odious	e nyonyehang	fear	0.500
ruined	e senyehile	fear	0.500
constraint	thibelo	fear	0.500
suppression	ho hatella	fear	0.500
defiance	ho nyelisa	fear	0.500
prayforme	prayforme	fear	0.500
surrender	ho inehela	fear	0.500
sinful	sebe	fear	0.500
woe	ho malimabe	fear	0.491
perjury	bolotsana	fear	0.484
worse	bobe le ho feta	fear	0.484
syringe	seringana	fear	0.484
canthandleit	NO TRANSLATION	fear	0.484
defamation	silafatsi	fear	0.484
cutting	ho khaola	fear	0.484
warrior	mohlabani	fear	0.484
restriction	thibelo	fear	0.484
indefensible	e ke keng ea lekanngoa	fear	0.484
palpitations	lipilango	fear	0.484
retard	lieha	fear	0.484
lash	ho lahla	fear	0.484
flinch	flinch	fear	0.484
lion	tau	fear	0.484
ravine	moferefere	fear	0.484
cracked	e phunyeletsoeng	fear	0.484
shiver	qhaqha	fear	0.484
insecurity	ho se sireletsehe	fear	0.484
rat	rat	fear	0.484
ohno	ohno	fear	0.484
fiend	fiend	fear	0.484
jumpy	jumpy	fear	0.484
hallucination	ho hlophisa	fear	0.484
poaching	poaching	fear	0.484
dishonor	ho hlompholloa	fear	0.484
dismay	ho tsieleha	fear	0.484
accusing	ho qosa	fear	0.484
ambulance	ambulense	fear	0.484
sonervous	NO TRANSLATION	fear	0.484
divorce	tlhalo	fear	0.484
ravenous	ho halefa	fear	0.484
disgusting	e nyonyehang	fear	0.484
rabble	lejoe	fear	0.484
slam	slam	fear	0.484
hospital	sepetlele	fear	0.484
coerce	qobella	fear	0.484
endemic	ho fela	fear	0.484
prejudiced	khethollo	fear	0.484
blackness	botšo	fear	0.484
armor	lihlomo	fear	0.484
worrying	ho tšoenyeha	fear	0.484
indictment	qoso ea liqoso	fear	0.484
hate	lehloeo	fear	0.484
freakish	freakish	fear	0.484
hearse	hearse	fear	0.484
intrusion	ho kena-kenana	fear	0.484
inspection	tlhahlobo	fear	0.483
sinner	moetsalibe	fear	0.483
averse	hanyenyane	fear	0.483
missing	ha ho joalo	fear	0.474
despairing	ho nyahama	fear	0.474
darken	ho fifala	fear	0.471
austere	e sa tloaelehang	fear	0.470
animosity	lehloeo	fear	0.469
fret	khathatso	fear	0.469
fever	feberu	fear	0.469
illegality	tlōlo ea molao	fear	0.469
accused	ba qosoa	fear	0.469
criticize	nyatsa	fear	0.469
scrapie	scrapie	fear	0.469
jaws	melahare	fear	0.469
depressed	tepelletseng	fear	0.469
armored	lihlomo	fear	0.469
indict	qosa	fear	0.469
aftermath	ka morao	fear	0.469
precipice	marang-rang	fear	0.469
regime	puso	fear	0.469
fierce	e bohale	fear	0.469
breakdown	tšenyeho	fear	0.469
quiver	khohlopo	fear	0.469
admonition	keletso	fear	0.469
foreclose	foreclose	fear	0.469
revoke	khutlisa	fear	0.469
superstition	litumela-khoela	fear	0.469
overwhelmed	e sithabetse	fear	0.469
subversion	ho senya	fear	0.469
idolatry	borapeli ba litšoantšo	fear	0.469
asteroid	asteroid	fear	0.469
toothache	leino le opang	fear	0.469
inmate	batšoaruoa	fear	0.469
decomposition	ho senyeha	fear	0.469
sinking	ho teba	fear	0.469
intrusive	intrusive	fear	0.469
soulless	ho sa tsotellehe	fear	0.469
infidelity	ho se tšepahale	fear	0.469
nervous	ho tšoha	fear	0.469
thresh	khaola	fear	0.469
startle	ts'oaetso	fear	0.469
unhealthy	e sa pheleng hantle	fear	0.469
spear	lerumo	fear	0.468
nasty	e mpe	fear	0.466
worried	tšoenyehile	fear	0.466
puma	puma	fear	0.465
thirteenth	leshome le metso e meraro	fear	0.465
contraband	ho itšireletsa	fear	0.464
insecure	se sireletsehileng	fear	0.461
disturbance	khathatso	fear	0.459
denunciation	nyatso	fear	0.456
stigma	sekhobo	fear	0.455
destitute	ho hloka thuso	fear	0.455
powerfully	ka matla	fear	0.454
penalty	kotlo	fear	0.453
derogatory	ho nyelisa	fear	0.453
spasm	spasm	fear	0.453
illicit	e fosahetse	fear	0.453
dinosaur	dinosaur	fear	0.453
disruption	ho senya	fear	0.453
lockup	sebakeng sa hau	fear	0.453
restrain	thibela	fear	0.453
rifle	sethunya	fear	0.453
disreputable	e sa tsejoeng	fear	0.453
omgomgomg	NO TRANSLATION	fear	0.453
ohgod	NO TRANSLATION	fear	0.453
warn	lemosa	fear	0.453
quandary	ha ho sa tsotellehe	fear	0.453
resisting	ho hanyetsa	fear	0.453
rigor	ka matla	fear	0.453
stranger	osele	fear	0.453
penal	kotlo	fear	0.453
grope	ho phopholetsa	fear	0.453
scold	khaola	fear	0.453
orphan	khutsana	fear	0.453
resign	itokolla	fear	0.453
hydrocephalus	hydrocephalus	fear	0.453
shrill	ho phatloha	fear	0.453
howl	ho bokolla	fear	0.453
unspeakable	e sa khonehang	fear	0.453
wail	bokollang	fear	0.453
straits	mathata	fear	0.453
indoctrination	ho koetlisoa	fear	0.453
apprehension	ho tšoha	fear	0.453
batter	batter	fear	0.453
arraignment	ho loantša	fear	0.450
urgent	potlako	fear	0.450
tramp	ho hatakela	fear	0.440
stress	khatello ea maikutlo	fear	0.439
behemoth	behemoth	fear	0.439
dominate	laola	fear	0.438
targeting	ho lebisa tlhokomelo	fear	0.438
broke	e robehile	fear	0.438
looming	ho fihla	fear	0.438
tribunal	lekhotla la makhotla	fear	0.438
debacle	ho kheloha	fear	0.438
forfeiture	tofeiture	fear	0.438
dislocated	ba senyehile	fear	0.438
infirmity	ho fokola	fear	0.438
impermeable	e hlokehang	fear	0.438
predicament	bothata	fear	0.438
falter	falter	fear	0.438
displaced	ba balehileng mahaeng	fear	0.438
concealed	e patehileng	fear	0.438
illegitimate	e seng molaong	fear	0.438
unprepared	e sa itokisetsa	fear	0.438
scarcity	khaello	fear	0.438
wince	wince	fear	0.438
mace	mace	fear	0.438
expel	leleka	fear	0.438
aghhh	NO TRANSLATION	fear	0.438
obstruct	thibela	fear	0.438
coldsweat	NO TRANSLATION	fear	0.438
stripped	e hlobotse	fear	0.438
dentists	lingaka tsa meno	fear	0.438
irreconcilable	ho se lumellane	fear	0.438
bewildered	ferekane	fear	0.438
indomitable	ho senyeha	fear	0.438
rheumatism	rheumatism	fear	0.438
accidental	kotsi	fear	0.438
prick	khaotsa	fear	0.438
entangled	ho keneha	fear	0.438
atrophy	atrophy	fear	0.438
asp	asp	fear	0.438
perverse	e fosahetseng	fear	0.438
cabal	cabal	fear	0.438
yell	hoeletsa	fear	0.438
gasping	ho fokotseha	fear	0.438
probation	tekano	fear	0.438
accuser	moqosi	fear	0.438
insulting	ho nyefola	fear	0.435
mysterious	se makatsang	fear	0.435
halting	ho emisa	fear	0.435
rebels	marabele	fear	0.435
repulsion	pheta-pheta	fear	0.431
glare	khanya	fear	0.430
punitive	ho otla	fear	0.425
sordid	ho hlaphoheloa	fear	0.425
stake	thupa	fear	0.423
tempest	sefefo	fear	0.423
ultimatum	ultimatum	fear	0.422
reticent	e sa amoheleng	fear	0.422
bayonet	bayonet	fear	0.422
depresson	NO TRANSLATION	fear	0.422
suspension	ho emisoa	fear	0.422
lament	lla	fear	0.422
burdensome	e boima	fear	0.422
bier	NO TRANSLATION	fear	0.422
thumping	thumping	fear	0.422
coyote	coyote	fear	0.422
deleterious	ho sa tsotellehe	fear	0.422
dissident	ba hanyetsane	fear	0.422
varicella	varicella	fear	0.422
wilderness	lefeella	fear	0.422
delusion	leshano	fear	0.422
bigot	bigot	fear	0.422
unsteady	e sa tsitsang	fear	0.422
stresses	khatello	fear	0.422
offense	tlōlo ea molao	fear	0.422
heathen	bohetene	fear	0.422
prowl	ho hlasela	fear	0.422
troll	troll	fear	0.422
infamous	e se nang mohau	fear	0.422
disappear	nyamela	fear	0.422
depress	tepella maikutlo	fear	0.422
publicspeaking	NO TRANSLATION	fear	0.422
unnatural	e sa tloaelehang	fear	0.422
usurped	e fetotsoe	fear	0.422
steal	u utsoe	fear	0.422
anathema	anathema	fear	0.422
fainting	ho tepella	fear	0.422
alien	mojaki	fear	0.422
extrajudicial	khethollo	fear	0.422
stressin	NO TRANSLATION	fear	0.422
hydra	hydra	fear	0.422
adversity	mahlomola	fear	0.418
ineptitude	ho hloka botsitso	fear	0.417
outsider	kantle ho naha	fear	0.413
ugliness	bobebe	fear	0.410
vulture	limata	fear	0.410
immoral	boitšoaro bo bobe	fear	0.410
scar	letlalo	fear	0.406
stressful	e sithabetsang	fear	0.406
screech	screech	fear	0.406
wary	hlokomela	fear	0.406
disgust	nyeliso	fear	0.406
stressing	ho hatella	fear	0.406
deport	ho leleka	fear	0.406
nausea	ho nyekeloa ke pelo	fear	0.406
resection	resection	fear	0.406
blackout	ho penya	fear	0.406
disallowed	e hanetsoe	fear	0.406
insolvent	tse sa tsejoeng	fear	0.406
dismissal	ho lelekoa	fear	0.406
omnipotence	matla a mangata	fear	0.406
possession	ho rua	fear	0.406
tearful	ho lla	fear	0.406
disorder	boloetse	fear	0.406
squall	squall	fear	0.406
dominant	e laolang	fear	0.406
disabled	ba holofetse	fear	0.406
drones	drones	fear	0.406
recklessness	ho se tsotelle	fear	0.406
escape	baleha	fear	0.406
distressed	ba sithabetse	fear	0.406
claw	claw	fear	0.406
stretcher	lebenkele	fear	0.406
ohdear	NO TRANSLATION	fear	0.406
penance	phoso	fear	0.406
weakly	ho fokola	fear	0.406
rubble	marang-rang	fear	0.406
whimper	shamper	fear	0.406
ghetto	ghetto	fear	0.406
socialism	socialism	fear	0.405
conspiracy	bolotsana	fear	0.400
toughness	matla	fear	0.400
defection	ho senya	fear	0.398
absence	ho se be teng	fear	0.396
moan	moan	fear	0.394
crusade	keresemese	fear	0.392
radon	radon	fear	0.391
lose	lahleheloa	fear	0.391
exigent	NO TRANSLATION	fear	0.391
dubious	e belaetsang	fear	0.391
unemployed	ba sa sebetseng	fear	0.391
reject	hana	fear	0.391
excitation	thabo	fear	0.391
xanax	xanax	fear	0.391
stifled	e tsitsitsoe	fear	0.391
scarecrow	scarecrow	fear	0.391
concealment	ho ipata	fear	0.391
conquer	hlōla	fear	0.391
discrimination	khethollo	fear	0.391
diagnosis	ho hlahlojoa	fear	0.391
whatdoido	NO TRANSLATION	fear	0.391
snare	leraba	fear	0.391
separation	ho arohana	fear	0.391
overt	ho feta	fear	0.391
urgency	potlako	fear	0.391
musket	musket	fear	0.391
unrest	merusu	fear	0.391
descent	tsoalo	fear	0.391
avoiding	ho qoba	fear	0.391
cyst	cyst	fear	0.391
gulp	gulp	fear	0.391
procedure	tshebetso	fear	0.391
submission	tlhaloso	fear	0.391
hardened	e tiile	fear	0.391
refutation	ho hana	fear	0.391
repellent	ho iphetetsa	fear	0.391
cleave	khomarela	fear	0.391
suspicion	ho belaelloa	fear	0.391
poverty	bofutsana	fear	0.391
nervy	NO TRANSLATION	fear	0.391
insolvency	ho senya	fear	0.391
mental	kelello	fear	0.391
theocratic	ea puso ea Molimo	fear	0.391
spaz	spaz	fear	0.391
brimstone	sebabole	fear	0.391
throb	'metso	fear	0.388
outcast	ho hlaseloa	fear	0.388
orc	orc	fear	0.388
disapprove	hana	fear	0.380
dontpanic	dontpanic	fear	0.378
plea	thapeli	fear	0.377
withdrawals	ho itokolla	fear	0.377
pressure	khatello	fear	0.375
grieve	sareloa	fear	0.375
frigate	frigate	fear	0.375
kerosene	parafene	fear	0.375
nauseous	leqeba	fear	0.375
khan	khan	fear	0.375
expose	pepesa	fear	0.375
ocd	ocd	fear	0.375
sneaking	ho sneaking	fear	0.375
embarrassment	ho hlajoa ke lihlong	fear	0.375
bankrupt	ho fokola	fear	0.375
dissolution	ho qhibiliha	fear	0.375
dentistry	mafu a meno	fear	0.375
edict	taelo	fear	0.375
bunker	bunker	fear	0.375
antsy	antsy	fear	0.375
chasm	moferefere	fear	0.375
escaped	ba balehile	fear	0.375
whirlpool	whirlpool	fear	0.375
interrogate	ho hlongoa lipotso	fear	0.375
psychological	kelello	fear	0.375
obligor	e tlamehile	fear	0.375
misconception	maikutlo a fosahetseng	fear	0.375
military	sesole	fear	0.375
suspected	ho belaelloa	fear	0.375
locust	tsie	fear	0.375
mentalhealth	NO TRANSLATION	fear	0.375
bad	e mpe	fear	0.375
coldness	ho bata	fear	0.375
taunt	ho nyelisa	fear	0.375
obi	obi	fear	0.375
flu	lefuba	fear	0.375
barricade	barricade	fear	0.375
chimera	chimera	fear	0.375
sultan	sultan	fear	0.375
repellant	ho iphetetsa	fear	0.373
unknown	tse sa tsejoeng	fear	0.369
pare	NO TRANSLATION	fear	0.367
jealousy	poulelo	fear	0.365
mug	makhasi	fear	0.359
consternation	ho senya	fear	0.359
rebel	marabele	fear	0.359
conquest	ho hlōla	fear	0.359
mournful	ho siama	fear	0.359
concerned	tse amehang	fear	0.359
mandamus	mandamus	fear	0.359
onedge	toedge	fear	0.359
recurring	e pheta-pheta	fear	0.359
jaundice	jaundice	fear	0.359
sectarian	lihlotšoana tsa bokhelohi	fear	0.359
desert	lehoatata	fear	0.359
cur	khutso	fear	0.359
difficult	ho thata	fear	0.359
stint	stint	fear	0.359
sortie	NO TRANSLATION	fear	0.359
dart	dart	fear	0.359
spike	spike	fear	0.359
timid	lihlong	fear	0.359
wasting	ho senya	fear	0.359
bottomless	ho hang	fear	0.359
warned	o ile a lemosa	fear	0.359
protestant	protestant	fear	0.359
contempt	nyeliso	fear	0.359
exam	tlhahlobo	fear	0.359
depreciation	ho fokotseha	fear	0.359
anomaly	ho fokola	fear	0.359
rejects	o hana	fear	0.359
pessimism	ho hloka tšepo	fear	0.359
revolution	revolution	fear	0.359
formidable	e tsotehang	fear	0.359
burke	burke	fear	0.359
cautionary	tlhokomelo	fear	0.359
headaches	hlooho ea hlooho	fear	0.359
bankruptcy	bankruptcy	fear	0.359
government	'muso	fear	0.359
measles	masapole	fear	0.359
languishing	ho nyahama	fear	0.358
constrain	qobella	fear	0.358
bane	bane	fear	0.356
impeach	e fosahetse	fear	0.354
warden	mohlokomeli	fear	0.354
adverse	e mpe	fear	0.352
lawyer	ramolao	fear	0.349
libel	libel	fear	0.348
retrenchment	ho fokotsoa	fear	0.345
imminent	e atametse	fear	0.345
unjustifiable	ho se na molato	fear	0.344
knell	knell	fear	0.344
contentious	tsekisano	fear	0.344
opposed	ba hanyetsang	fear	0.344
shame	lihlong	fear	0.344
avoidance	ho qoba	fear	0.344
resistant	e hanyetsang	fear	0.344
discipline	taeo	fear	0.344
defy	ho nyefola	fear	0.344
belittle	ho nyenyefatsa	fear	0.344
fanaticism	ho cheseha	fear	0.344
bearish	bearish	fear	0.344
opium	opium	fear	0.344
sorrow	masoabi	fear	0.344
mri	mri	fear	0.344
shaky	e tsielehile	fear	0.344
hiss	hers	fear	0.344
loneliness	bolutu	fear	0.344
swerve	swerve	fear	0.344
taboo	taboo	fear	0.344
reckless	ho se tsotelle	fear	0.344
obstacle	tšitiso	fear	0.344
launches	e qala	fear	0.344
aaaaaaah	aaaaaaah	fear	0.344
verdict	qeto	fear	0.344
servile	servile	fear	0.344
hesitation	ho tsilatsila	fear	0.344
evade	qoba	fear	0.344
recession	moruo	fear	0.344
eel	tlhapinohana	fear	0.344
shortage	khaello	fear	0.344
pest	disenyi	fear	0.344
cutter	khaola	fear	0.344
psych	psych	fear	0.344
parachute	parachute	fear	0.344
disrespectful	ho hloka tlhompho	fear	0.343
phalanx	phalanx	fear	0.342
creature	sebōpuoa	fear	0.340
mortgage	ho reka	fear	0.331
specter	ikhethang	fear	0.331
enigmatic	enigmatic	fear	0.329
caution	hlokolosi	fear	0.328
police	mapolesa	fear	0.328
shank	shank	fear	0.328
undesirable	e sa rateheng	fear	0.328
shutdown	koala	fear	0.328
dike	dike	fear	0.328
subordinate	tlase	fear	0.328
gametime	nako ea gametime	fear	0.328
remove	tlosa	fear	0.328
smut	smut	fear	0.328
spillin	NO TRANSLATION	fear	0.328
mishap	molaetsa	fear	0.328
loom	loom	fear	0.328
supremacy	bophahamo	fear	0.328
unlucky	unlucky	fear	0.328
quash	quash	fear	0.328
hives	mehaho	fear	0.328
wimp	wimp	fear	0.328
gladiator	gladiator	fear	0.328
feeling	ho ikutloa	fear	0.328
dominion	puso	fear	0.328
encumbrance	ho pota-pota	fear	0.328
adrift	ho ba teng	fear	0.328
defendant	moqosuoa	fear	0.328
outpost	kantle ho naha	fear	0.328
uhoh	NO TRANSLATION	fear	0.328
senseless	e se nang kelello	fear	0.328
wrongly	ka phoso	fear	0.328
bugaboo	bugaboo	fear	0.328
weirdo	weirdo	fear	0.328
ethereal	ethereal	fear	0.328
scarce	ho haella	fear	0.327
unsettled	e sa tsitsitseng	fear	0.327
antisocial	ho se tsotelle	fear	0.324
astray	ho kheloha	fear	0.320
vigilant	le falimehe	fear	0.319
socialist	setsebi	fear	0.318
halter	halter	fear	0.318
pessimist	ba hlokang tšepo	fear	0.317
pacing	ho tsamaea hantle	fear	0.316
opponent	mohanyetsi	fear	0.312
discontinuity	ho khaotsa	fear	0.312
conspire	'momori	fear	0.312
trickery	bolotsana	fear	0.312
obsessing	ho hlokomoloha	fear	0.312
seclusion	ho ba teng	fear	0.312
whirlwind	e fofa	fear	0.312
unexpected	ho sa lebelloa	fear	0.312
ahhhhhhhh	NO TRANSLATION	fear	0.312
cram	cram	fear	0.312
collusion	ho arohana	fear	0.312
muzzle	phunyeletsa	fear	0.312
blight	ho senya	fear	0.312
foreigner	osele	fear	0.312
chargeable	e ka lefelloang	fear	0.312
laxative	ho laxative	fear	0.312
clinical	kliniki	fear	0.312
dentist	ngaka ea meno	fear	0.312
therapist	setsebi	fear	0.312
deadline	letsatsi la pheletso	fear	0.312
bewilderment	ho tsieleha	fear	0.312
litigate	hlahisa	fear	0.312
nether	ka tlaase	fear	0.312
thorny	meutloa	fear	0.312
valium	valium	fear	0.312
powerful	matla	fear	0.312
uneasy	e sa tsotellehe	fear	0.312
unkind	ho hloka mosa	fear	0.312
ordnance	taelo	fear	0.312
wimpy	e tsoetse pele	fear	0.312
overthinking	ho nahana haholo	fear	0.309
doubts	lipelaelo	fear	0.308
seriousness	ho teba	fear	0.305
irrational	ho se nahane	fear	0.305
erase	hlakola	fear	0.303
teasing	ho soma	fear	0.303
razor	lehare	fear	0.303
sweating	ho fufuleloa	fear	0.298
reluctant	ho tsilatsila	fear	0.297
mage	mage	fear	0.297
crouching	ho lla	fear	0.297
warning	temoso	fear	0.297
endless	ho sa feleng	fear	0.297
adjudicate	ho nyatsa	fear	0.297
bale	bale	fear	0.297
inflation	inflation	fear	0.297
giant	seholohali	fear	0.297
auditor	moqolotsi oa libuka	fear	0.297
medical	bongaka	fear	0.297
swamp	letamo	fear	0.297
bitch	bitch	fear	0.297
mislead	khelosa	fear	0.297
weighty	boima	fear	0.297
avoid	qoba	fear	0.297
depreciated	e theohile	fear	0.297
flounder	flounder	fear	0.297
deflation	deflation	fear	0.297
unsurpassed	e sa lekanyetsoang	fear	0.297
dashed	e qalile	fear	0.297
hide	pata	fear	0.297
timidity	lihlong	fear	0.297
deluge	moroallo	fear	0.287
disinformation	ho se tsebe	fear	0.286
court	lekhotla	fear	0.284
aversion	ho ferekana	fear	0.283
hurryup	NO TRANSLATION	fear	0.281
unfriendly	ba sa ratane	fear	0.281
remains	e sala	fear	0.281
discourage	nyahamisa	fear	0.281
cautious	hlokolosi	fear	0.281
oncoming	e tlang	fear	0.281
flying	ho fofa	fear	0.281
mistaken	phoso	fear	0.281
swelling	ho ruruha	fear	0.281
dwarfed	e nyenyane	fear	0.281
surveillance	tlhokomelo	fear	0.281
apache	apache	fear	0.281
rush	ho potlaka	fear	0.281
yelp	yelp	fear	0.281
cartridge	cartridge	fear	0.281
fortress	qhobosheane	fear	0.281
bigoted	e theotsoe	fear	0.281
notready	notready	fear	0.281
challenge	phephetso	fear	0.281
submitting	ho ipeha	fear	0.281
wan	NO TRANSLATION	fear	0.281
confusion	pherekano	fear	0.281
unruly	e sa laoleheng	fear	0.281
intense	haholo	fear	0.279
noncompliance	ho se mamele	fear	0.276
alerts	litlhokomeliso	fear	0.276
planes	lifofane	fear	0.274
displeased	ha a thabe	fear	0.273
cop	mohoeletsi	fear	0.273
unbridled	e sa laoleheng	fear	0.271
regiment	lebotho	fear	0.266
crowds	bongata	fear	0.266
sentence	polelo	fear	0.266
blindfold	koaletsoeng	fear	0.266
crouch	lieha	fear	0.266
belt	lebanta	fear	0.266
hooded	hooded	fear	0.266
uncanny	tse sa tloaelehang	fear	0.266
cupping	khapping	fear	0.266
sneak	sneak	fear	0.266
cloak	moaparo	fear	0.266
banger	banger	fear	0.266
affront	affront	fear	0.266
confession	ho ipolela	fear	0.266
blemish	sekoli	fear	0.266
posse	posse	fear	0.266
auditions	litlhaloso	fear	0.266
forgotten	e lebetsoe	fear	0.266
immerse	qoelisa	fear	0.266
operation	ho sebetsa	fear	0.266
elevation	phahameng	fear	0.266
shanghai	shanghai	fear	0.266
hood	hood	fear	0.266
problem	bothata	fear	0.266
skid	skid	fear	0.266
insomnia	ho hlobaela	fear	0.266
newjob	NO TRANSLATION	fear	0.266
acrobat	acrobat	fear	0.266
flurries	flurries	fear	0.266
force	matlafatsa	fear	0.266
spur	hlahisa	fear	0.262
defense	sireletsa	fear	0.258
mortgagor	mortgagor	fear	0.258
impatiently	NO TRANSLATION	fear	0.250
run	matha	fear	0.250
rascal	morabe	fear	0.250
standstill	ema	fear	0.250
doubt	ho belaela	fear	0.250
cataract	sebete	fear	0.250
repent	baka	fear	0.250
unfamiliar	e sa tloaelehang	fear	0.250
delusional	ho thetsa	fear	0.250
obliging	e tlamehile	fear	0.250
hag	Hag	fear	0.250
defend	sireletsa	fear	0.250
guard	lebela	fear	0.250
scapegoat	ho hlasela	fear	0.250
swampy	marotholi	fear	0.250
react	arabela	fear	0.250
breakingnews	breakingnews	fear	0.250
foul	e litšila	fear	0.250
spinster	spinster	fear	0.250
indifference	ho iphapanyetsa	fear	0.250
sunk	e tsitsitse	fear	0.250
picket	picket	fear	0.250
insect	likokoanyana	fear	0.250
rating	lekanya	fear	0.250
forewarned	e lemositsoe esale pele	fear	0.250
indecisive	ho iketsetsa liqeto	fear	0.250
stealthy	bohale	fear	0.250
jobinterview	NO TRANSLATION	fear	0.250
grounded	e thehiloe	fear	0.242
badhabit	NO TRANSLATION	fear	0.242
